,movie,year,imdb,metascore,votes,descriptions,n_imdb
0,Gladiator,(2000),8.5,67,1230705,"
    A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.",85.0
1,Memento,(2000),8.4,80,1043073,"
    A man with short-term memory loss attempts to track down his wife's murderer.",84.0
2,Snatch,(2000),8.3,55,727766,"
    Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",83.0
3,Requiem for a Dream,(2000),8.3,68,709414,"
    The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.",83.0
4,X-Men,(2000),7.4,64,542597,"
    In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",74.0
5,Cast Away,(2000),7.8,73,479211,"
    A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.",78.0
6,American Psycho,(2000),7.6,64,438231,"
    A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",76.0
7,Unbreakable,(2000),7.3,62,359058,"
    A man learns something extraordinary about himself after a devastating accident.",73.0
8,Meet the Parents,(2000),7.0,73,295281,"
    Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.",70.0
9,Mission: Impossible II,(2000),6.1,59,294398,"
    I.M.F. Agent Ethan Hunt (Tom Cruise) is sent to Sydney, Australia to find and destroy a genetically modified disease called ""Chimera"".",61.0
10,"O Brother, Where Art Thou?",(2000),7.7,69,267298,"
    In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",77.0
11,Gone in 60 Seconds,(2000),6.5,35,248069,"
    A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.",65.0
12,"Crouching Tiger, Hidden Dragon",(2000),7.8,93,241842,"
    A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.",78.0
13,The Patriot,(2000),7.2,63,239909,"
    Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.",72.0
14,Almost Famous,(2000),7.9,90,237056,"
    A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.",79.0
15,Scary Movie,(2000),6.2,48,217137,"
    A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",62.0
16,Pitch Black,(2000),7.1,49,215598,"
    A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.",71.0
17,Final Destination,(2000),6.7,36,213850,"
    After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.",67.0
18,"Me, Myself & Irene",(2000),6.6,49,211523,"
    A nice-guy cop with dissociative identity disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.",66.0
19,The Beach,(I) (2000),6.7,43,210596,"
    Vicenarian Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss. Excited and intrigued, he sets out to find it.",67.0
20,Amores Perros,(2000),8.1,83,208975,"
    A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",81.0
